Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Iwaki,1.16,0.06,1.1,0.88,0.04,0.84,0.28,0.02,0.26,1.16,0.06,1.1,1,0,1,-0.1,47.3,57.34,53.84,1.04,0.37,210,14,15,4,14.42,10.81,12.76,5,3,24,11,10,160.2,71.04,66.93,96.82,201.53,93.81,2,Ventforet Kofu 0-1 Iwaki,2026-03-14
Ventforet Kofu,0.06,1.16,-1.1,0.04,0.88,-0.84,0.02,0.28,-0.26,0.06,1.16,-1.1,0,1,-1,0.1,52.7,42.66,43.52,0.37,1.04,145,6,4,15,10.81,14.42,9.19,3,5,22,4,11,65.3,28.96,2.2,3.18,13.3,6.19,3,Ventforet Kofu 0-1 Iwaki,2026-03-14
Fujieda MYFC,1.18,3.01,-1.83,1.13,2.6,-1.47,0.05,0.4,-0.35,1.18,3.01,-1.83,2,1,1,2.83,30.4,29.37,47.06,0.73,1.66,108,15,11,28,15.07,16.87,14.88,3,2,12,5,12,37.7,12.14,124.13,92.13,90.83,44.72,6,Omiya Ardija 1-2 Fujieda MYFC,2026-03-14
Omiya Ardija,3.01,1.18,1.83,2.6,1.13,1.47,0.4,0.05,0.35,3.01,1.18,1.83,1,2,-1,-2.83,69.6,70.63,52.49,1.66,0.73,327,28,28,11,16.87,15.07,8.41,2,3,38,9,11,272.9,87.86,10.6,7.87,112.3,55.28,2,Omiya Ardija 1-2 Fujieda MYFC,2026-03-14
Montedio Yamagata,0.47,1.81,-1.34,0.47,1.7,-1.23,0.0,0.11,-0.11,0.47,1.81,-1.34,1,2,-1,0.34,37.9,28.23,43.56,0.45,1.22,122,5,4,22,8.89,18.03,17.38,2,4,4,2,8,46.7,14.71,88.0,71.27,64.23,39.79,1,Shonan Bellmare 2-1 Montedio Yamagata,2026-03-14
Shonan Bellmare,1.81,0.47,1.34,1.7,0.47,1.23,0.11,0.0,0.11,1.81,0.47,1.34,2,1,1,-0.34,62.1,71.77,55.02,1.22,0.45,339,17,22,4,18.03,8.89,12.08,4,2,27,12,12,270.8,85.29,35.47,28.73,97.2,60.21,1,Shonan Bellmare 2-1 Montedio Yamagata,2026-03-14
Sagamihara,1.21,2.02,-0.81,0.72,1.92,-1.2,0.49,0.1,0.39,1.21,2.02,-0.81,1,3,-2,-1.19,51.1,52.37,54.27,0.76,0.82,185,16,16,20,21.05,24.39,7.76,8,4,27,9,10,98.6,48.55,31.53,58.25,69.37,31.29,4,Vegalta Sendai 3-1 Sagamihara,2026-03-14
Vegalta Sendai,2.02,1.21,0.81,1.92,0.72,1.2,0.1,0.49,-0.39,2.02,1.21,0.81,3,1,2,1.19,48.9,47.63,48.93,0.82,0.76,154,19,20,16,24.39,21.05,10.22,4,8,21,6,6,104.5,51.45,22.6,41.75,152.3,68.71,10,Vegalta Sendai 3-1 Sagamihara,2026-03-14
Imabari,0.83,0.61,0.22,0.78,0.61,0.17,0.05,0.0,0.05,0.83,0.61,0.22,0,2,-2,-2.22,55.3,56.29,46.29,0.53,0.28,233,7,6,5,11.32,17.86,12.43,5,6,16,5,8,82.4,62.47,37.47,33.16,57.23,41.08,1,Kochi United 2-0 Imabari,2026-03-14
Kochi United,0.61,0.83,-0.22,0.61,0.78,-0.17,0.0,0.05,-0.05,0.61,0.83,-0.22,2,0,2,2.22,44.7,43.71,41.7,0.28,0.53,135,4,5,6,17.86,11.32,15.39,6,5,7,2,11,49.5,37.53,75.53,66.84,82.07,58.92,0,Kochi United 2-0 Imabari,2026-03-14
