Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Schweinfurt,1.78,1.74,0.04,1.74,1.46,0.28,0.04,0.27,-0.23,1.78,1.74,0.04,1,2,-1,-1.04,25.60,22.07,44.09,0.07,0.93,84,6,12,20,171.43,21.51,20.89,2,6,10,3,16,11.4,3.74,142.67,91.46,29.57,14.12,1,Schweinfurt 1-2 Verl,2025-10-04
Saarbrücken,0.87,0.90,-0.03,0.47,0.88,-0.41,0.40,0.02,0.38,0.87,0.90,-0.03,1,1,0,0.03,40.90,47.39,52.68,0.58,0.67,178,11,10,6,17.24,8.96,9.78,5,2,18,6,12,93.1,51.92,101.93,92.45,165.0,83.46,0,Jahn Regensburg 1-1 Saarbrücken,2025-10-04
Jahn Regensburg,0.90,0.87,0.03,0.88,0.47,0.41,0.02,0.40,-0.38,0.90,0.87,0.03,1,1,0,-0.03,59.10,52.61,43.94,0.67,0.58,178,14,6,10,8.96,17.24,8.92,2,5,18,3,14,86.2,48.08,8.33,7.55,32.7,16.54,4,Jahn Regensburg 1-1 Saarbrücken,2025-10-04
Havelse,2.09,5.78,-3.69,1.10,5.52,-4.42,0.24,0.26,-0.02,1.33,5.78,-4.45,1,4,-3,0.69,42.70,39.6,40.94,0.6,2.13,156,8,14,26,23.33,12.21,15.48,4,5,18,5,13,53.0,21.4,94.33,76.86,44.46,14.17,0,Viktoria Köln 4-1 Havelse,2025-10-04
Viktoria Köln,5.78,2.09,3.69,5.52,1.10,4.42,0.26,0.24,0.02,5.78,1.33,4.45,4,1,3,-0.69,57.30,60.4,45.09,2.13,0.6,244,21,26,14,12.21,23.33,8.81,5,4,17,4,15,194.7,78.6,28.4,23.14,269.4,85.83,3,Viktoria Köln 4-1 Havelse,2025-10-04
Ulm,1.57,4.40,-2.83,0.69,4.06,-3.37,0.12,0.34,-0.22,0.81,4.40,-3.59,1,4,-3,-0.17,48.40,49.85,47.31,0.6,1.04,196,10,15,20,25.0,19.23,12.83,3,3,16,5,10,104.4,51.18,59.73,61.41,91.67,50.0,2,Ingolstadt 4-1 Ulm,2025-10-04
Ingolstadt,4.40,1.57,2.83,4.06,0.69,3.37,0.34,0.12,0.22,4.40,0.81,3.59,4,1,3,0.17,51.60,50.15,45.21,1.04,0.6,186,20,20,15,19.23,25.0,12.30,3,3,21,4,11,99.6,48.82,37.53,38.59,91.66,50.0,6,Ingolstadt 4-1 Ulm,2025-10-04
Osnabrück,3.42,1.52,1.90,3.37,1.47,1.90,0.05,0.05,0.00,3.42,1.52,1.90,4,1,3,1.10,41.30,43.96,46.67,1.14,0.66,164,18,13,16,11.4,24.24,13.31,5,5,17,3,15,78.6,40.29,90.07,83.14,131.07,69.37,3,Waldhof Mannheim 1-4 Osnabrück,2025-10-04
Waldhof Mannheim,1.52,3.42,-1.90,1.47,3.37,-1.90,0.05,0.05,0.00,1.52,3.42,-1.90,1,4,-3,-1.10,58.70,56.04,45.67,0.66,1.14,225,17,16,13,24.24,11.4,9.27,5,5,26,9,13,116.5,59.71,18.27,16.86,57.87,30.63,0,Waldhof Mannheim 1-4 Osnabrück,2025-10-04
Hansa Rostock,0.71,2.01,-1.30,0.52,1.97,-1.45,0.19,0.04,0.15,0.71,2.01,-1.30,2,2,0,1.30,52.00,44.91,43.25,0.6,0.91,168,11,12,12,20.0,13.19,11.16,3,11,10,3,13,81.8,47.64,33.13,34.06,74.63,38.4,3,MSV Duisburg 2-2 Hansa Rostock,2025-10-03
MSV Duisburg,2.01,0.71,1.30,1.97,0.52,1.45,0.04,0.19,-0.15,2.01,0.71,1.30,2,2,0,-1.30,48.00,55.09,46.14,0.91,0.6,185,11,12,12,13.19,20.0,9.76,11,3,29,6,12,89.9,52.36,64.13,65.94,119.73,61.6,5,MSV Duisburg 2-2 Hansa Rostock,2025-10-03
Ingolstadt,2.18,1.70,0.48,1.59,1.42,0.17,0.59,0.29,0.30,2.18,1.70,0.48,2,2,0,-0.48,38.00,44.12,41.77,0.99,0.99,149,17,15,17,15.15,17.17,23.38,9,6,24,6,9,64.9,28.87,137.13,92.37,85.1,47.3,9,Verl 2-2 Ingolstadt,2025-10-01
Verl,1.70,2.18,-0.48,1.42,1.59,-0.17,0.29,0.59,-0.30,1.70,2.18,-0.48,2,2,0,0.48,62.00,55.88,48.13,0.99,0.99,322,14,17,15,17.17,15.15,15.05,6,9,10,4,8,159.9,71.13,11.33,7.63,94.8,52.7,0,Verl 2-2 Ingolstadt,2025-10-01
